#separator:tab
#html:false
zusammenleben	жить вместе
drei	три
geschieden sein	быть в разводе
vier	четыре
er	он
fünf	пять
sechs	шесть
sieben	семь
acht	восемь
neun	девять
zehn	десять
elf	одиннадцать
zwölf	двенадцать
dreizehn	тринадцать
vierzehn	четырнадцать
fünfzehn	пятнадцать
sechzehn	шестнадцать
siebzehn	семнадцать
achtzehn	восемнадцать
neunzehn	девятнадцать
zwanzig	двадцать
die Telefonnummer	номер телефона
die Nummer	номер
Spanien	Испания
wo	где
geboren	родился
verheiratet	женатый/замужем
alt	старый
das Alter	возраст
der Geburtsort	место рождения
der Wohnort	место жительства
der Familienstand	семейное положение
ledig	холостой/незамужняя
verwitwet	вдовец/вдова
das Partnerinterview	интервью о партнере
über	о
deutschsprachig	немецкоговорящий
liegen	лежать
die Landkarte	карта
der Norden	север
der Osten	восток
der Süden	юг
der Westen	запад
die Hauptstadt	столица
Süd-	южный
Nord-	северный
der Freund	друг
die Freundin	подруга
Slowenien	Словения
lange	долго
zusammenwohnen	жить вместе
der Grafik-Designer	графический дизайнер
die Grafik-Designerin	графический дизайнер (жен.)
Norddeutschland	Северная Германия
der Lehrer	учитель
die Lehrerin	учительница
der Kroate	хорват
die Kroatin	хорватка
die/der Deutsche	немец/немка
Süddeutschland	Южная Германия
Baden-Württemberg	Баден-Вюртемберг
der Possessivartikel	притяжательный артикль
das Befinden	самочувствие
zusammen	вместе
ander-	другой
vorstellen (sich)	представляться
die Angabe	данные
zu	к
der Ort	место
zählen	считать
verstehen (sich)	понимать друг друга
beantworten	отвечать
das Thema	тема
der Türke	турок
die Türkin	турчанка
der Österreicher	австриец
die Österreicherin	австрийка
bilden	образовывать
die Gruppe	группа
jeder	каждый
der Satz	предложение
Russland	Россия
das Projekt	проект
arbeiten	работать
die Kurs-Kontaktliste	контактный список курса
der Fragebogen	анкета
der Unterstrich	нижнее подчеркивание
der Punkt	точка
die E-Mail-Adresse	электронный адрес
die Muttersprache	родной язык
die Kontaktliste	контактный список
die Kursstatistik	статистика курса
sammeln	собирать
der Satzakzent	акцент в предложении
das Familienmitglied	член семьи
klopfen	стучать
der Rhythmus	ритм
das Forum	форум
die Tabelle	таблица
die Prüfung	экзамен
Tschechisch	чешский
hier	здесь
der Fokus	фокус
die Stadtbibliothek	городская библиотека
der Schülerausweis	студенческий билет
die Klasse	класс
die/der Jugendliche	подросток
die/der Erziehungsberechtigte	опекун
erlauben	разрешать
männlich	мужской
weiblich	женский
die Nationalität	национальность
Medien	СМИ
entleihen	брать (напр. книгу)
das Buch	книга
die Zeitschrift	журнал
das Hörbuch	аудиокнига
die CD	CD
die DVD	DVD
die DVD-ROM	DVD-ROM
der Chefarzt	главврач
die Chefärztin	главврач (жен.)
einkaufen	покупать
der Bananenpfannkuchen	банановый блин
der Pfannkuchen	блин
kennen	знать
die Banane	банан
die Butter	масло
das Ei	яйцо
das Mehl	мука
die Milch	молоко
der Zucker	сахар
die Schokolade	шоколад
brauchen	нуждаться
kaufen	покупать
das Schokoladenei	шоколадное яйцо
passen	подходить
möchten	хотеть
der Hunger	голод
superlecker	очень вкусно
der Euro	евро
können	мочь
dir	тебе
helfen	помогать
erzählen	рассказывать
Sri Lanka	Шри-Ланка
das Fleisch	мясо
das Bier	пиво
der Käse	сыр
das Salz	соль
der Tee	чай
das Brot	хлеб
der Wein	вино
das Mineralwasser	минеральная вода
der Reis	рис
der Fisch	рыба
natürlich	естественно
der Einkaufszettel	список покупок
zu Hause	дома
zeichnen	рисовать
doch	же
ein-	один
kein-	никакой
der Apfel	яблоко
die Birne	груша
das Wörterbuch	словарь
die Orange	апельсин
